,st1,st2,distance
0,0,31,64.729415
1,31,32,63.27559199999999
2,6,31,62.07048500000001
3,5,31,61.825853000000016
4,2,31,61.66748400000001
5,7,31,61.57431700000001
6,8,31,61.154325000000014
7,4,31,60.83149700000002
8,9,31,60.67698000000001
9,1,31,60.60233100000002
10,16,31,60.53288800000002
11,3,31,60.512055000000025
12,31,33,60.46175500000001
13,14,31,60.06344100000002
14,13,31,60.01586700000003
15,12,31,59.93647100000002
16,15,31,59.53918700000002
17,11,31,59.24322000000003
18,10,31,58.082042000000015
19,31,34,58.02557
20,20,31,57.08647500000002
21,0,30,57.065945000000006
22,0,29,56.442607999999986
23,21,31,56.31126200000001
24,17,31,55.979691000000024
25,18,31,55.979691000000024
26,19,31,55.86490500000003
27,30,32,55.61410999999999
28,22,31,55.50973200000002
29,29,32,55.00793999999999
30,6,30,54.407015000000015
31,23,31,54.19283800000002
32,5,30,54.16238300000002
33,2,30,54.00401400000001
34,7,30,53.91084700000001
35,6,29,53.783677999999995
36,5,29,53.53904599999999
37,8,30,53.49085500000001
38,2,29,53.38067699999999
39,7,29,53.28750999999999
40,4,30,53.168027000000016
41,9,30,53.01351000000001
42,1,30,52.93886100000002
43,16,30,52.86941800000002
44,8,29,52.86751799999999
45,3,30,52.84858500000002
46,30,33,52.80027300000001
47,4,29,52.544689999999996
48,14,30,52.39997100000002
49,9,29,52.39017299999999
50,13,30,52.352397000000025
51,1,29,52.315523999999996
52,12,30,52.273001000000015
53,16,29,52.246081
54,3,29,52.225248
55,29,33,52.19410300000001
56,15,30,51.875717000000016
57,14,29,51.776634
58,13,29,51.729060000000004
59,12,29,51.649663999999994
60,11,30,51.57975000000003
61,15,29,51.252379999999995
62,11,29,50.956413000000005
63,10,30,50.41857200000001
64,30,34,50.36408800000001
65,10,29,49.79523499999999
66,29,34,49.75791800000001
67,20,30,49.42300500000002
68,20,29,48.799668
69,21,30,48.64779200000002
70,0,28,48.35610899999999
71,17,30,48.31622100000002
72,18,30,48.31622100000002
73,19,30,48.201435000000025
74,21,29,48.024454999999996
75,22,30,47.84626200000002
76,18,29,47.692884
77,17,29,47.692884
78,19,29,47.578098000000004
79,22,29,47.222925
80,28,32,46.941008000000004
81,23,30,46.52936800000003
82,0,27,45.99375899999998
83,23,29,45.906031000000006
84,6,28,45.697179
85,5,28,45.452546999999996
86,2,28,45.294177999999995
87,7,28,45.201010999999994
88,8,28,44.78101899999999
89,27,32,44.62120200000001
90,4,28,44.458191
91,9,28,44.303673999999994
92,1,28,44.229025
93,16,28,44.159582
94,3,28,44.138749000000004
95,28,33,44.12717100000003
96,14,28,43.690135000000005
97,13,28,43.64256100000001
98,12,28,43.563165
99,6,27,43.334828999999985
100,15,28,43.165881
101,5,27,43.09019699999998
102,2,27,42.93182799999999
103,11,28,42.86991400000001
104,7,27,42.83866099999999
105,8,27,42.41866899999999
106,28,34,42.28192200000003
107,4,27,42.095840999999986
108,9,27,41.94132399999999
109,1,27,41.86667499999999
110,27,33,41.807365000000026
111,16,27,41.797231999999994
112,3,27,41.77639899999999
113,10,28,41.708735999999995
114,14,27,41.327785
115,13,27,41.280210999999994
116,12,27,41.20081499999999
117,15,27,40.80353099999999
118,20,28,40.713169
119,24,31,40.697426
120,11,27,40.50756399999999
121,21,28,39.937956
122,17,28,39.606385
123,18,28,39.606385
124,19,28,39.49159900000001
125,10,27,39.34638599999999
126,25,31,39.235901
127,17,34,39.146257
128,18,34,39.146257
129,22,28,39.136426
130,19,34,39.031471
131,26,31,38.57443100000001
132,16,34,38.502162
133,33,34,38.502162
134,20,27,38.350818999999994
135,26,33,37.93748100000001
136,16,26,37.92090100000001
137,23,28,37.819532
138,21,27,37.57560599999999
139,0,26,37.37230799999999
140,17,27,37.244035
141,18,27,37.244035
142,19,27,37.129248999999994
143,13,26,37.07621399999999
144,27,34,36.97262
145,15,34,36.87864
146,22,27,36.774075999999994
147,14,34,36.700863999999996
148,15,26,36.59953399999999
149,13,34,36.574473999999995
150,14,26,36.421758
151,12,26,36.29478799999999
152,23,27,35.457181999999996
153,12,34,35.051027999999995
154,6,26,34.71337799999999
155,26,32,34.573858
156,5,26,34.46874599999999
157,11,26,34.466297999999995
158,7,26,34.217209999999994
159,8,26,33.797217999999994
160,2,26,33.528836
161,17,26,33.488820000000004
162,18,26,33.488820000000004
163,4,26,33.47438999999999
164,19,26,33.37403400000001
165,9,26,33.319872999999994
166,3,26,33.154948
167,11,34,33.123101000000005
168,24,30,33.033955999999996
169,24,29,32.410619000000004
170,1,26,31.865289
171,25,30,31.572430999999998
172,25,29,30.949094000000002
173,26,30,30.91096100000001
174,8,34,30.779037
175,10,26,30.724934999999995
176,7,34,30.595861
177,9,34,30.523749999999996
178,26,29,30.287624000000015
179,24,34,30.134889999999988
180,20,26,29.729367999999997
181,10,34,29.503863999999997
182,6,34,29.339183999999996
183,5,34,29.094552
184,25,34,28.98000199999999
185,21,26,28.954154999999997
186,0,34,28.64272900000001
187,4,34,28.402863999999997
188,26,28,28.193149000000016
189,20,34,27.410181
190,3,34,27.203798999999997
191,23,26,26.737080999999996
192,21,34,26.634967999999997
193,0,25,26.490978
194,25,32,25.440833999999995
195,0,24,24.706023
196,22,26,24.413809000000004
197,24,32,24.325135999999997
198,24,28,24.324120000000004
199,2,34,23.861571
200,2,25,23.619003000000003
201,6,25,23.525350000000003
202,17,32,23.303223000000003
203,18,32,23.303223000000003
204,5,25,23.280718000000004
205,24,26,23.195274
206,7,25,23.029182000000006
207,25,28,22.862595000000002
208,19,32,22.746935
209,23,34,22.738002
210,1,25,22.708517000000004
211,8,25,22.609190000000005
212,4,25,22.286362000000004
213,9,25,22.131845000000006
214,3,25,21.966920000000005
215,24,27,21.962169999999997
216,16,25,21.918079000000006
217,25,33,21.917711999999998
218,2,24,21.834048000000003
219,6,24,21.740395
220,25,26,21.733748999999996
221,27,31,21.496476000000005
222,5,24,21.495763000000004
223,16,32,21.48740600000001
224,32,33,21.475936999999995
225,14,25,21.448632000000003
226,13,25,21.401058000000006
227,12,25,21.321662000000003
228,7,24,21.244227000000002
229,15,25,20.924378000000004
230,1,24,20.923562
231,8,24,20.824235000000005
232,11,25,20.628411000000003
233,26,34,20.589270999999997
234,22,34,20.539028
235,4,24,20.501407000000004
236,25,27,20.500645
237,22,33,20.438595999999997
238,16,22,20.434871999999984
239,9,24,20.346890000000002
240,18,22,20.235195999999995
241,17,22,20.235195999999995
242,14,32,20.202635000000008
243,3,24,20.181965000000005
244,16,24,20.133124000000002
245,24,33,20.132757
246,19,22,20.120409999999996
247,15,32,20.03639800000001
248,1,18,19.756769999999992
249,1,17,19.756769999999992
250,14,24,19.663677000000003
251,1,19,19.654586999999996
252,13,24,19.616103000000003
253,13,32,19.559718000000004
254,10,25,19.536907000000006
255,12,24,19.536707000000003
256,1,34,19.460504999999998
257,1,16,19.179742999999995
258,1,33,19.179742999999995
259,15,24,19.139423
260,11,24,18.843456000000003
261,15,22,18.629891999999998
262,20,25,18.541340000000005
263,13,22,18.507184
264,14,22,18.452115999999997
265,12,32,18.036272000000004
266,1,14,17.842375000000004
267,21,25,17.766127000000004
268,10,24,17.751952000000006
269,1,15,17.703238000000002
270,22,25,17.640697
271,22,24,17.592174
272,28,31,17.373137999999997
273,17,25,17.364882000000005
274,18,25,17.364882000000005
275,19,25,17.250096000000006
276,23,33,17.232519
277,1,13,17.226558
278,32,34,17.199167000000003
279,16,23,17.172755999999993
280,26,27,17.077955000000006
281,2,17,16.986614999999997
282,2,18,16.986614999999997
283,0,17,16.986185
284,0,18,16.986185
285,12,22,16.983738
286,17,23,16.865492
287,18,23,16.865492
288,20,24,16.756385
289,19,23,16.750705999999997
290,11,32,16.624872
291,2,19,16.548826
292,0,19,16.38138
293,23,25,16.144357
294,21,24,15.981172000000003
295,1,12,15.730769999999998
296,2,16,15.610214999999998
297,2,33,15.610214999999998
298,18,24,15.579927000000003
299,17,24,15.579927000000003
300,19,24,15.465141000000003
301,15,23,15.367776
302,13,23,15.245067999999998
303,14,23,15.189999999999998
304,11,22,14.900351999999994
305,3,18,14.42221
306,3,17,14.42221
307,23,24,14.359401999999998
308,2,14,14.344950999999996
309,0,22,14.31365
310,2,15,14.133709999999999
311,3,19,13.984421
312,27,30,13.833006000000005
313,12,23,13.721621999999998
314,1,11,13.7103
315,4,17,13.697825999999997
316,4,18,13.697825999999997
317,8,32,13.687866999999997
318,2,13,13.657029999999999
319,9,32,13.508993999999996
320,7,32,13.504690999999996
321,8,22,13.213748000000006
322,27,29,13.209669000000002
323,6,18,13.195872999999999
324,6,17,13.195872999999999
325,5,17,13.168792999999997
326,5,18,13.168792999999997
327,17,20,13.152334
328,18,20,13.152334
329,4,19,13.093020999999997
330,16,20,13.087974999999993
331,19,20,13.037548
332,7,22,13.030572000000008
333,10,32,13.005635
334,9,22,12.958461000000007
335,21,33,12.730597
336,16,21,12.707249999999995
337,17,21,12.698326999999997
338,18,21,12.698326999999997
339,20,32,12.641039999999995
340,7,17,12.616899999999998
341,7,18,12.616899999999998
342,6,19,12.591068
343,19,21,12.583540999999997
344,5,19,12.563987999999998
345,20,33,12.455259
346,8,18,12.196907999999999
347,8,17,12.196907999999999
348,6,32,12.189077999999999
349,2,12,12.161241999999998
350,0,14,12.112093999999999
351,6,22,12.076563000000002
352,0,33,12.065747
353,0,16,12.065747
354,7,19,12.012094999999997
355,5,32,11.944446
356,4,32,11.904635
357,0,15,11.900853000000001
358,21,32,11.865826999999998
359,5,22,11.831931000000004
360,9,17,11.709901999999996
361,9,18,11.709901999999996
362,11,23,11.638235999999996
363,8,19,11.592103
364,0,32,11.443562000000002
365,0,13,11.424173000000001
366,3,16,11.38265
367,3,33,11.38265
368,1,8,11.369213000000002
369,15,20,11.282995
370,1,9,11.239759
371,0,11,11.219976999999998
372,1,7,11.198047000000003
373,13,20,11.160286999999997
374,10,22,11.156155000000002
375,27,28,11.115193999999997
376,14,20,11.105219
377,9,19,11.105096999999995
378,0,23,11.051534000000002
379,15,21,10.902270000000001
380,4,22,10.837575000000005
381,13,21,10.779562
382,14,21,10.724494
383,3,32,10.70557
384,10,17,10.620619999999999
385,10,18,10.620619999999999
386,2,11,10.502638999999999
387,10,19,10.182830999999998
388,22,32,10.160048999999999
389,3,22,10.119303000000002
390,3,14,10.117385999999998
391,23,32,10.107059000000001
392,4,33,10.088998999999998
393,4,16,10.088998999999998
394,8,23,9.951632000000005
395,0,12,9.928385
396,3,15,9.906145
397,1,6,9.870424
398,1,10,9.849216
399,7,23,9.768456000000006
400,0,1,9.748341999999997
401,28,30,9.709668
402,9,23,9.696345000000004
403,12,20,9.636840999999999
404,1,5,9.625791999999999
405,10,33,9.600634999999999
406,10,16,9.600634999999999
407,6,16,9.587045999999999
408,6,33,9.587045999999999
409,5,33,9.559966
410,5,16,9.559966
411,3,13,9.429465
412,12,21,9.256116
413,1,4,9.152971999999998
414,2,22,9.115026999999996
415,28,29,9.018187000000001
416,7,16,9.008072999999998
417,7,33,9.008072999999998
418,29,31,8.988155999999998
419,0,20,8.835596999999998
420,4,14,8.823735
421,6,23,8.814447000000003
422,0,21,8.724851
423,20,22,8.689873
424,4,15,8.612493999999998
425,8,33,8.588080999999999
426,8,16,8.588080999999999
427,5,23,8.569815000000004
428,11,18,8.331517
429,11,17,8.331517
430,6,14,8.321781999999999
431,5,14,8.294702
432,10,14,8.268719
433,0,10,8.250069999999997
434,4,13,8.135814
435,10,15,8.12413
436,6,15,8.110541
437,9,33,8.101074999999998
438,9,16,8.101074999999998
439,5,15,8.083461
440,1,3,7.938868000000001
441,3,11,7.9382340000000005
442,3,12,7.933677000000001
443,21,22,7.9146600000000005
444,2,8,7.8973889999999995
445,10,23,7.894039000000001
446,11,19,7.8937279999999985
447,1,20,7.887468000000001
448,2,32,7.857646
449,2,23,7.782006999999998
450,7,14,7.7428089999999985
451,2,7,7.726222999999999
452,2,9,7.678943
453,30,31,7.663469999999999
454,10,13,7.647449999999999
